heart_rate,eda,body_temp,bvp,cluster,stress_level
85.25,0.483062,35.15,85.71,0,Medium Stress
85.4,0.48178,35.13,93.76,0,Medium Stress
85.55,0.48178,35.13,103.0,0,Medium Stress
85.7,0.480499,35.13,112.62,0,Medium Stress
85.87,0.480499,35.13,121.73,0,Medium Stress
86.0,0.480499,35.13,129.77,0,Medium Stress
86.17,0.479218,35.13,136.75,0,Medium Stress
86.38,0.480499,35.13,143.3,0,Medium Stress
86.6,0.479218,35.13,150.75,0,Medium Stress
86.88,0.477936,35.13,157.77,0,Medium Stress
87.17,0.477936,35.13,166.64,0,Medium Stress
87.47,0.477936,35.13,177.95,0,Medium Stress
87.75,0.477936,35.13,191.79,0,Medium Stress
88.07,0.477936,35.11,206.97,0,Medium Stress
88.38,0.477936,35.11,220.57,0,Medium Stress
88.72,0.477936,35.11,228.25,0,Medium Stress
89.12,0.479218,35.11,225.36,0,Medium Stress
89.5,0.48178,35.11,208.53,0,Medium Stress
89.87,0.495875,35.11,176.87,0,Medium Stress
90.22,0.52022,35.11,132.76,0,Medium Stress
90.6,0.522783,35.11,80.05,0,Medium Stress
90.97,0.524064,35.11,23.07,0,Medium Stress
91.3,0.527908,35.11,-34.94,0,Medium Stress
91.68,0.530471,35.11,-92.44,0,Medium Stress
92.1,0.533034,35.11,-149.16,0,Medium Stress
92.53,0.534315,35.11,-205.23,0,Medium Stress
92.93,0.535596,35.11,-260.37,0,Medium Stress
93.23,0.516376,35.11,-313.74,0,Medium Stress
93.47,0.511251,35.11,-363.87,0,Medium Stress
93.6,0.501,35.13,-409.83,0,Medium Stress
93.87,0.498438,35.13,-450.91,0,Medium Stress
94.1,0.493312,35.13,-486.5,0,Medium Stress
94.37,0.486906,35.13,-515.74,0,Medium Stress
94.57,0.484343,35.11,-537.23,0,Medium Stress
94.72,0.483062,35.11,-549.22,0,Medium Stress
94.88,0.480499,35.11,-549.96,0,Medium Stress
94.9,0.480499,35.11,-538.37,0,Medium Stress
94.9,0.480499,35.09,-514.21,0,Medium Stress
94.88,0.483062,35.09,-478.67,0,Medium Stress
94.83,0.484343,35.09,-433.88,0,Medium Stress
94.73,0.488187,35.09,-382.45,0,Medium Stress
94.65,0.489468,35.05,-327.02,0,Medium Stress
94.55,0.49075,35.05,-269.84,0,Medium Stress
94.45,0.49075,35.05,-212.63,0,Medium Stress
94.33,0.49075,35.05,-156.66,0,Medium Stress
94.27,0.49075,35.03,-102.95,0,Medium Stress
94.25,0.488187,35.03,-52.37,0,Medium Stress
94.18,0.486906,35.03,-5.9,0,Medium Stress
94.27,0.488187,35.03,35.58,0,Medium Stress
94.35,0.49075,35.03,71.43,0,Medium Stress
94.43,0.493312,35.03,101.35,0,Medium Stress
94.52,0.497156,35.03,125.5,0,Medium Stress
94.55,0.498438,35.03,144.38,0,Medium Stress
94.63,0.499719,35.03,158.69,0,Medium Stress
94.6,0.501,35.03,169.15,0,Medium Stress
94.53,0.501,35.03,176.37,0,Medium Stress
94.53,0.499719,35.03,180.75,0,Medium Stress
94.48,0.497156,35.05,182.57,0,Medium Stress
94.47,0.494594,35.05,182.07,0,Medium Stress
94.42,0.494594,35.05,179.51,0,Medium Stress
94.37,0.502282,35.05,175.23,0,Medium Stress
94.25,0.501,35.05,169.65,0,Medium Stress
94.13,0.499719,35.05,163.18,0,Medium Stress
94.02,0.498438,35.05,156.15,0,Medium Stress
93.93,0.498438,35.05,148.81,0,Medium Stress
93.9,0.497156,35.05,141.3,0,Medium Stress
93.85,0.495875,35.05,133.69,0,Medium Stress
93.8,0.494594,35.05,126.02,0,Medium Stress
93.77,0.494594,35.05,118.33,0,Medium Stress
93.73,0.493312,35.0,110.69,0,Medium Stress
93.65,0.492031,35.0,103.16,0,Medium Stress
93.53,0.492031,35.0,95.8,0,Medium Stress
93.38,0.49075,35.0,88.68,0,Medium Stress
93.17,0.49075,35.0,81.83,0,Medium Stress
92.97,0.489468,35.0,75.25,0,Medium Stress
92.73,0.489468,35.0,68.95,0,Medium Stress
92.42,0.489468,35.0,62.95,0,Medium Stress
92.12,0.489468,35.0,57.25,0,Medium Stress
91.8,0.494594,35.0,51.86,0,Medium Stress
91.4,0.497156,35.0,46.78,0,Medium Stress
91.02,0.498438,35.0,42.03,0,Medium Stress
90.6,0.497156,34.99,37.59,0,Medium Stress
90.2,0.497156,34.99,33.45,0,Medium Stress
89.78,0.497156,34.99,29.61,0,Medium Stress
89.38,0.498438,34.99,26.07,0,Medium Stress
89.0,0.503563,34.99,22.81,0,Medium Stress
88.67,0.508688,34.99,19.83,0,Medium Stress
88.38,0.513814,34.99,17.11,0,Medium Stress
88.15,0.526627,34.99,14.67,0,Medium Stress
87.9,0.574036,34.97,12.48,0,Medium Stress
87.65,0.583006,34.97,10.54,0,Medium Stress
87.4,0.559942,34.97,8.83,0,Medium Stress
87.07,0.545847,34.97,7.35,0,Medium Stress
86.8,0.550972,34.97,6.07,0,Medium Stress
86.57,0.830302,34.97,4.97,0,Medium Stress
86.32,1.17781,34.97,4.05,0,Medium Stress
86.2,1.616094,34.97,3.27,1,Low Stress
86.0,0.892241,35.0,2.62,0,Medium Stress
85.82,0.751196,35.0,2.09,0,Medium Stress
85.65,0.67816,35.0,1.65,0,Medium Stress
85.53,0.644845,35.0,1.3,0,Medium Stress
85.47,0.721725,35.09,1.01,0,Medium Stress
85.35,0.820388,35.09,0.79,0,Medium Stress
85.27,0.83192,35.09,0.61,0,Medium Stress
85.2,0.815262,35.09,0.48,0,Medium Stress
85.07,0.77426,35.11,0.37,0,Medium Stress
84.97,0.772979,35.11,0.29,0,Medium Stress
84.85,0.775541,35.11,0.24,0,Medium Stress
84.65,0.765291,35.11,0.2,0,Medium Stress
84.4,0.757603,35.13,0.18,0,Medium Stress
84.17,0.752477,35.13,0.17,0,Medium Stress
83.97,0.739664,35.13,0.17,0,Medium Stress
83.82,0.730695,35.13,0.18,0,Medium Stress
83.65,0.705068,35.13,0.2,0,Medium Stress
83.55,0.541058,35.13,0.22,0,Medium Stress
83.43,0.579498,35.13,0.26,0,Medium Stress
83.28,0.564122,35.13,0.29,0,Medium Stress
83.15,0.532088,35.15,0.33,0,Medium Stress
83.0,0.605124,35.15,0.37,0,Medium Stress
82.88,0.607687,35.15,0.42,0,Medium Stress
82.83,0.61025,35.15,0.46,0,Medium Stress
82.88,0.551308,35.16,0.51,0,Medium Stress
82.95,0.550027,35.16,0.56,0,Medium Stress
83.02,0.619219,35.16,0.61,0,Medium Stress
83.05,0.606406,35.16,0.66,0,Medium Stress
83.02,0.634595,35.25,0.72,0,Medium Stress
82.93,0.666628,35.25,0.78,0,Medium Stress
82.8,0.63972,35.25,0.84,0,Medium Stress
82.62,0.619219,35.25,0.92,0,Medium Stress
82.43,0.598718,35.23,1.0,0,Medium Stress
82.3,0.56284,35.23,1.08,0,Medium Stress
82.17,0.547464,35.23,1.18,0,Medium Stress
82.05,0.539776,35.23,1.29,0,Medium Stress
81.98,0.528244,35.25,1.42,0,Medium Stress
81.88,0.471866,35.25,1.55,0,Medium Stress
81.78,0.461615,35.25,1.71,0,Medium Stress
81.68,0.537145,35.25,1.88,0,Medium Stress
81.55,0.612743,35.27,2.07,0,Medium Stress
81.42,0.590961,35.27,2.28,0,Medium Stress
81.37,0.590961,35.27,2.51,0,Medium Stress
81.27,0.611462,35.27,2.77,0,Medium Stress
81.18,0.6294,35.27,3.06,0,Medium Stress
81.12,0.634526,35.27,3.37,0,Medium Stress
81.05,0.608899,35.27,3.72,0,Medium Stress
80.97,0.603774,35.27,4.1,0,Medium Stress
80.88,0.612743,35.25,4.51,0,Medium Stress
80.78,0.634526,35.25,4.96,0,Medium Stress
80.7,0.65759,35.25,5.44,0,Medium Stress
80.58,0.685779,35.25,5.96,0,Medium Stress
80.5,0.683216,35.23,6.52,0,Medium Stress
80.35,0.681935,35.23,7.12,0,Medium Stress
80.22,0.669122,35.23,7.79,0,Medium Stress
80.13,0.652464,35.23,8.51,0,Medium Stress
80.03,0.647339,35.31,9.27,0,Medium Stress
79.92,0.651183,35.31,10.06,0,Medium Stress
79.82,0.64862,35.31,10.84,0,Medium Stress
79.72,0.64862,35.31,11.61,0,Medium Stress
79.68,0.649902,35.31,12.37,0,Medium Stress
79.63,0.651183,35.31,13.15,0,Medium Stress
79.58,0.655027,35.31,14.01,0,Medium Stress
79.47,0.69603,35.31,14.97,0,Medium Stress
79.3,0.708843,35.31,16.07,0,Medium Stress
79.18,0.708843,35.31,17.28,0,Medium Stress
79.08,0.482047,35.31,18.56,0,Medium Stress
78.98,0.546114,35.31,19.81,0,Medium Stress
78.9,0.77291,35.33,20.97,0,Medium Stress
78.78,0.756252,35.33,21.95,0,Medium Stress
78.67,0.614024,35.33,22.69,0,Medium Stress
78.53,0.784441,35.33,23.14,0,Medium Stress
78.4,0.824163,35.31,23.24,0,Medium Stress
78.25,0.842101,35.31,22.89,0,Medium Stress
78.08,0.576866,35.31,21.95,0,Medium Stress
77.93,0.75369,35.31,20.31,0,Medium Stress
77.8,0.881823,35.33,17.85,0,Medium Stress
77.68,0.930513,35.33,14.56,0,Medium Stress
77.6,0.76394,35.33,10.47,0,Medium Stress
77.53,0.803661,35.33,5.85,0,Medium Stress
77.45,0.824163,35.31,0.99,0,Medium Stress
77.38,0.892073,35.31,-3.76,0,Medium Stress
77.28,0.939483,35.31,-8.15,0,Medium Stress
77.13,0.920263,35.31,-12.06,0,Medium Stress
76.97,0.806224,35.33,-15.53,0,Medium Stress
76.78,0.828007,35.33,-18.65,0,Medium Stress
76.6,0.815193,35.33,-21.51,0,Medium Stress
76.42,0.77291,35.33,-24.09,0,Medium Stress
76.28,0.578147,35.31,-26.2,0,Medium Stress
76.2,0.724219,35.31,-27.58,0,Medium Stress
76.13,0.756252,35.31,-28.01,0,Medium Stress
76.1,0.746002,35.31,-27.48,0,Medium Stress
76.07,0.811349,35.34,-26.3,0,Medium Stress
76.02,0.845945,35.34,-25.0,0,Medium Stress
75.97,0.861321,35.34,-24.15,0,Medium Stress
75.93,0.884385,35.34,-24.16,0,Medium Stress
75.87,0.890792,35.31,-25.02,0,Medium Stress
75.82,0.808787,35.31,-26.36,0,Medium Stress
75.8,0.826725,35.31,-27.48,0,Medium Stress
75.78,0.701155,35.31,-27.77,0,Medium Stress
75.78,0.758815,35.31,-26.97,0,Medium Stress
75.78,0.690904,35.31,-25.34,0,Medium Stress
75.78,0.710124,35.31,-23.61,0,Medium Stress
75.8,0.807505,35.31,-22.65,0,Medium Stress
75.83,0.89848,35.34,-23.06,0,Medium Stress
75.83,0.959984,35.34,-24.88,0,Medium Stress
75.83,0.934357,35.34,-27.48,0,Medium Stress
75.83,0.911293,35.34,-29.91,0,Medium Stress
75.83,1.038145,35.31,-31.33,1,Low Stress
75.83,1.071529,35.31,-31.36,1,Low Stress
75.82,1.008744,35.31,-30.31,0,Medium Stress
75.8,0.47571,35.31,-28.99,0,Medium Stress
75.77,0.86139,35.41,-28.34,0,Medium Stress
75.75,0.872922,35.41,-29.23,0,Medium Stress
75.75,0.872922,35.41,-32.31,0,Medium Stress
75.73,0.931864,35.41,-37.87,0,Medium Stress
75.7,1.024119,35.65,-45.61,1,Low Stress
75.65,1.044621,35.65,-54.13,1,Low Stress
75.6,0.989524,35.65,-60.77,0,Medium Stress
75.53,0.958772,35.65,-62.03,0,Medium Stress
75.35,1.079217,35.66,-54.86,1,Low Stress
75.28,1.088186,35.66,-38.11,1,Low Stress
75.18,1.088186,35.66,-13.59,1,Low Stress
75.13,1.127907,35.66,14.22,1,Low Stress
75.1,1.035651,35.65,39.73,1,Low Stress
75.08,1.108687,35.65,58.35,1,Low Stress
75.02,1.14969,35.65,68.1,1,Low Stress
74.92,1.153534,35.65,69.9,1,Low Stress
74.95,0.95749,35.61,66.53,0,Medium Stress
74.97,1.029245,35.61,60.93,1,Low Stress
74.98,0.981836,35.61,54.97,0,Medium Stress
75.05,1.036933,35.61,49.2,1,Low Stress
75.1,1.022838,35.59,43.45,1,Low Stress
75.17,0.961334,35.59,37.66,0,Medium Stress
75.27,1.011306,35.59,32.3,1,Low Stress
75.32,0.986961,35.59,28.27,0,Medium Stress
75.33,0.88958,35.57,26.25,0,Medium Stress
75.33,0.893424,35.57,26.26,0,Medium Stress
75.33,0.743508,35.57,27.59,0,Medium Stress
75.28,0.913925,35.57,29.18,0,Medium Stress
75.27,1.163785,35.57,29.99,1,Low Stress
75.25,1.139439,35.57,29.54,1,Low Stress
75.25,1.07281,35.57,28.06,1,Low Stress
75.25,1.153534,35.57,26.12,1,Low Stress
75.3,1.249634,35.55,24.38,1,Low Stress
75.27,1.103562,35.55,23.19,1,Low Stress
75.22,1.330358,35.55,22.42,1,Low Stress
75.22,1.353422,35.55,21.48,1,Low Stress
75.2,1.350859,35.53,19.61,1,Low Stress
75.17,1.411081,35.53,16.28,1,Low Stress
75.28,1.5059,35.53,11.39,1,Low Stress
75.42,1.595692,35.53,5.38,1,Low Stress
75.48,1.512406,35.59,-1.05,1,Low Stress
75.55,1.317643,35.59,-7.26,1,Low Stress
75.62,1.347114,35.59,-12.96,1,Low Stress
75.67,1.201042,35.59,-18.27,1,Low Stress
75.73,1.185666,35.71,-23.5,1,Low Stress
75.8,1.211293,35.71,-28.9,1,Low Stress
75.85,1.215137,35.71,-34.47,1,Low Stress
75.92,1.202324,35.71,-39.98,1,Low Stress
76.0,1.263827,35.55,-45.24,1,Low Stress
76.08,1.276641,35.55,-50.41,1,Low Stress
76.17,1.27536,35.55,-55.95,1,Low Stress
76.25,1.27536,35.55,-62.5,1,Low Stress
76.33,1.279203,35.5,-70.37,1,Low Stress
76.43,1.283047,35.5,-79.28,1,Low Stress
76.52,1.284329,35.5,-88.05,1,Low Stress
76.57,1.283047,35.5,-94.85,1,Low Stress
76.6,1.279203,35.49,-97.61,1,Low Stress
76.47,1.280485,35.49,-94.67,1,Low Stress
76.33,1.279203,35.49,-85.37,1,Low Stress
76.2,1.267671,35.49,-70.18,1,Low Stress
76.12,1.302267,35.47,-50.62,1,Low Stress
76.03,1.372741,35.47,-28.78,1,Low Stress
75.95,1.418869,35.47,-6.82,1,Low Stress
75.87,1.485498,35.47,13.49,1,Low Stress
75.82,1.585442,35.43,30.94,1,Low Stress
75.83,1.511124,35.43,44.95,1,Low Stress
75.85,1.491904,35.43,55.42,1,Low Stress
75.88,1.38171,35.43,62.54,1,Low Stress
76.03,1.388117,35.47,66.73,1,Low Stress
76.07,1.359927,35.47,68.49,1,Low Stress
76.12,1.34327,35.47,68.35,1,Low Stress
76.13,1.276641,35.47,66.83,1,Low Stress
76.15,1.313799,35.47,64.36,1,Low Stress
76.15,1.289454,35.47,61.35,1,Low Stress
76.17,1.254858,35.47,58.13,1,Low Stress
76.22,1.192073,35.47,55.0,1,Low Stress
76.15,1.192073,35.47,52.17,1,Low Stress
76.1,1.452183,35.47,49.72,1,Low Stress
76.08,1.326613,35.47,47.66,1,Low Stress
76.0,1.32405,35.47,45.99,1,Low Stress
75.95,1.192073,35.5,44.77,1,Low Stress
75.88,1.171572,35.5,44.12,1,Low Stress
75.78,1.263827,35.5,44.12,1,Low Stress
75.68,1.206168,35.5,44.65,1,Low Stress
75.67,1.186948,35.5,45.36,1,Low Stress
75.63,1.130569,35.5,45.64,1,Low Stress
75.6,1.169009,35.5,44.93,1,Low Stress
75.63,1.395805,35.5,42.85,1,Low Stress
75.67,1.473966,35.5,39.41,1,Low Stress
75.7,1.479091,35.5,34.9,1,Low Stress
75.73,1.459871,35.5,29.77,1,Low Stress
75.77,1.462434,35.5,24.44,1,Low Stress
75.73,1.231794,35.53,19.08,1,Low Stress
75.77,1.329175,35.53,13.64,1,Low Stress
75.8,1.111349,35.53,7.87,1,Low Stress
75.78,1.138257,35.53,1.43,1,Low Stress
75.75,1.229232,35.53,-5.95,1,Low Stress
75.72,1.283047,35.53,-14.47,1,Low Stress
75.53,1.4304,35.53,-24.06,1,Low Stress
75.37,1.42015,35.53,-34.43,1,Low Stress
75.3,1.407337,35.5,-45.02,1,Low Stress
75.25,1.330457,35.5,-55.19,1,Low Stress
75.22,1.390679,35.5,-64.43,1,Low Stress
75.22,1.353521,35.5,-72.5,1,Low Stress
75.22,1.353521,35.43,-79.63,1,Low Stress
75.2,1.370178,35.43,-86.45,1,Low Stress
75.18,1.386835,35.43,-93.81,1,Low Stress
75.13,1.371459,35.43,-102.5,1,Low Stress
75.07,1.326613,35.45,-112.9,1,Low Stress
75.0,1.327894,35.45,-124.67,1,Low Stress
74.93,1.344551,35.45,-136.71,1,Low Stress
74.82,1.338145,35.45,-147.25,1,Low Stress
74.73,1.333019,35.41,-154.25,1,Low Stress
74.67,1.32405,35.41,-155.92,1,Low Stress
74.6,1.298423,35.41,-151.12,1,Low Stress
74.57,1.308674,35.41,-139.77,1,Low Stress
74.55,1.23692,35.41,-122.82,1,Low Stress
74.7,1.16004,35.41,-102.02,1,Low Stress
74.83,1.028063,35.41,-79.5,1,Low Stress
74.97,0.914024,35.41,-57.16,0,Medium Stress
75.05,0.944677,35.43,-36.27,0,Medium Stress
75.15,1.036933,35.43,-17.28,1,Low Stress
75.25,1.227851,35.43,0.01,1,Low Stress
75.33,1.241946,35.43,16.18,1,Low Stress
75.42,1.089467,35.43,31.72,1,Low Stress
75.42,1.142002,35.43,46.81,1,Low Stress
75.42,1.158659,35.43,61.23,1,Low Stress
75.42,1.177879,35.43,74.5,1,Low Stress
75.4,1.181723,35.45,86.15,1,Low Stress
75.37,1.191974,35.45,95.88,1,Low Stress
75.37,1.189411,35.45,103.61,1,Low Stress
75.38,1.227851,35.45,109.35,1,Low Stress
75.38,1.195818,35.47,113.08,1,Low Stress
75.38,1.176598,35.47,114.78,1,Low Stress
75.38,1.181723,35.47,114.49,1,Low Stress
75.38,1.224007,35.47,112.53,1,Low Stress
75.38,1.244508,35.45,109.47,1,Low Stress
75.4,1.289355,35.45,106.08,1,Low Stress
75.38,1.266291,35.45,103.03,1,Low Stress
75.37,1.289355,35.45,100.6,1,Low Stress
75.37,1.257322,35.41,98.64,1,Low Stress
75.38,1.348296,35.41,96.58,1,Low Stress
75.4,1.417488,35.41,93.77,1,Low Stress
75.47,1.413644,35.41,89.7,1,Low Stress
75.48,1.420051,35.43,84.23,1,Low Stress
75.52,1.425176,35.43,77.65,1,Low Stress
75.55,1.176598,35.43,70.48,1,Low Stress
75.57,1.180442,35.43,63.23,1,Low Stress
75.57,1.036933,35.5,56.21,1,Low Stress
75.57,1.099718,35.5,49.42,1,Low Stress
75.58,1.025401,35.5,42.59,1,Low Stress
75.63,1.122782,35.5,35.39,1,Low Stress
75.72,1.024119,35.53,27.55,1,Low Stress
75.82,1.035651,35.53,19.05,1,Low Stress
75.95,1.052309,35.53,10.05,1,Low Stress
76.1,0.734539,35.53,0.86,0,Medium Stress
76.28,0.643564,35.49,-8.16,0,Medium Stress
76.47,0.693536,35.49,-16.66,0,Medium Stress
76.65,0.649971,35.49,-24.36,0,Medium Stress
76.8,0.594874,35.49,-31.13,0,Medium Stress
76.98,0.611531,35.45,-37.04,0,Medium Stress
77.15,1.068966,35.45,-42.46,1,Low Stress
77.3,1.273979,35.45,-48.06,1,Low Stress
77.42,1.074091,35.45,-54.54,1,Low Stress
77.53,0.734539,35.45,-62.36,0,Medium Stress
77.65,0.992086,35.45,-71.35,0,Medium Stress
77.63,1.020275,35.45,-80.52,0,Medium Stress
77.65,1.043339,35.45,-88.17,0,Medium Stress
77.67,1.031807,35.47,-92.32,0,Medium Stress
77.68,1.051027,35.47,-91.3,0,Medium Stress
77.68,1.244508,35.47,-84.3,1,Low Stress
77.73,1.271416,35.47,-71.65,1,Low Stress
77.73,1.307294,35.41,-54.72,1,Low Stress
77.72,1.20735,35.41,-35.54,1,Low Stress
77.72,1.081779,35.41,-16.19,1,Low Stress
77.72,1.045902,35.41,1.63,0,Medium Stress
77.75,1.156097,35.43,16.83,1,Low Stress
77.8,1.295762,35.43,28.96,1,Low Stress
77.88,1.231695,35.43,37.96,1,Low Stress
77.98,1.229132,35.43,44.07,1,Low Stress
78.08,1.309856,35.41,47.57,1,Low Stress
78.15,1.4098,35.41,48.79,1,Low Stress
78.2,1.493087,35.41,48.1,1,Low Stress
78.23,1.443214,35.41,45.9,1,Low Stress
78.25,1.58416,35.39,42.69,1,Low Stress
78.3,1.548283,35.39,39.02,1,Low Stress
78.35,1.721263,35.39,35.43,1,Low Stress
78.43,1.702043,35.39,32.34,1,Low Stress
78.58,1.617475,35.43,29.97,1,Low Stress
78.75,1.732795,35.43,28.32,1,Low Stress
78.9,1.623881,35.43,27.24,1,Low Stress
79.03,1.623881,35.43,26.54,1,Low Stress
79.18,1.590567,35.41,26.11,1,Low Stress
79.23,1.571347,35.41,25.94,1,Low Stress
79.27,1.543158,35.41,26.04,1,Low Stress
79.3,1.530344,35.41,26.35,1,Low Stress
79.3,1.499592,35.41,26.67,1,Low Stress
79.28,1.498311,35.41,26.69,1,Low Stress
79.3,1.462434,35.41,26.06,1,Low Stress
79.33,1.438089,35.41,24.59,1,Low Stress
79.35,1.407337,35.41,22.27,1,Low Stress
79.37,1.415025,35.41,19.25,1,Low Stress
79.37,1.230513,35.41,15.72,1,Low Stress
79.35,1.22795,35.41,11.79,1,Low Stress
79.3,1.242045,35.43,7.45,1,Low Stress
79.25,1.426557,35.43,2.53,1,Low Stress
79.17,1.443214,35.43,-3.1,1,Low Stress
79.1,1.272797,35.43,-9.43,1,Low Stress
79.05,0.853802,35.43,-16.29,0,Medium Stress
79.02,0.826795,35.43,-23.38,0,Medium Stress
79.0,1.024119,35.43,-30.44,0,Medium Stress
78.97,1.047183,35.43,-37.4,0,Medium Stress
78.92,0.88061,35.39,-44.45,0,Medium Stress
78.85,0.922894,35.39,-52.01,0,Medium Stress
78.77,1.090749,35.39,-60.42,0,Medium Stress
78.65,1.279104,35.39,-69.68,1,Low Stress
78.53,1.279104,35.41,-79.07,1,Low Stress
78.4,1.045902,35.41,-87.18,0,Medium Stress
78.27,0.933145,35.41,-92.15,0,Medium Stress
78.13,1.285511,35.41,-92.29,1,Low Stress
77.95,1.480273,35.43,-86.56,1,Low Stress
77.78,1.002436,35.43,-75.05,0,Medium Stress
77.65,0.953745,35.43,-58.92,0,Medium Stress
77.52,1.026781,35.43,-40.05,0,Medium Stress
77.4,1.029344,35.43,-20.46,0,Medium Stress
77.28,1.080597,35.43,-1.82,1,Low Stress
77.3,1.087004,35.43,14.82,1,Low Stress
77.3,1.081878,35.43,28.9,1,Low Stress
77.3,1.101098,35.37,40.29,1,Low Stress
77.28,1.069065,35.37,49.05,1,Low Stress
77.27,1.108786,35.37,55.29,1,Low Stress
77.25,1.161321,35.37,59.21,1,Low Stress
77.23,1.2177,35.37,61.14,1,Low Stress
77.2,1.203605,35.37,61.4,1,Low Stress
77.17,1.11263,35.37,60.35,1,Low Stress
77.12,1.153633,35.37,58.28,1,Low Stress
77.02,1.126725,35.37,55.42,1,Low Stress
76.9,1.04472,35.37,51.97,1,Low Stress
76.75,0.856364,35.37,48.14,0,Medium Stress
76.58,0.88061,35.37,44.17,0,Medium Stress
76.42,0.878048,35.39,40.25,0,Medium Stress
76.27,0.893424,35.39,36.58,0,Medium Stress
76.13,0.92802,35.39,33.32,0,Medium Stress
76.03,1.070247,35.39,30.6,1,Low Stress
75.95,1.145846,35.37,28.5,1,Low Stress
75.87,1.166347,35.37,26.95,1,Low Stress
75.8,1.189411,35.37,25.79,1,Low Stress
75.7,1.231695,35.37,24.72,1,Low Stress
75.55,1.234258,35.34,23.39,1,Low Stress
75.4,1.124063,35.34,21.6,1,Low Stress
75.25,1.289355,35.34,19.28,1,Low Stress
75.1,1.26501,35.34,16.45,1,Low Stress
74.95,1.318826,35.34,13.11,1,Low Stress
74.92,1.215038,35.34,9.07,1,Low Stress
74.93,1.174035,35.34,4.09,1,Low Stress
75.0,1.262447,35.34,-1.95,1,Low Stress
75.13,1.311138,35.37,-8.89,1,Low Stress
75.28,1.359828,35.37,-16.19,1,Low Stress
75.45,1.398268,35.37,-23.18,1,Low Stress
75.63,1.422614,35.37,-29.4,1,Low Stress
75.82,1.420051,35.33,-34.88,1,Low Stress
75.97,1.413644,35.33,-40.1,1,Low Stress
76.1,1.403394,35.33,-45.85,1,Low Stress
76.22,1.380329,35.33,-52.73,1,Low Stress
76.33,1.357266,35.31,-60.96,1,Low Stress
76.45,1.34189,35.31,-70.35,1,Low Stress
